Author ID,posts,subject_posts,include_hits,exclude_hits,avg_relevance,avg_domain_similarity,max_domain_similarity,author_username,focus_share
161079363,12,12,12,1,0.9166666666666666,,,Costco_Insider,1.0
83415363,2,1,1,0,0.5,,,pieroj2,0.5
1863054654541832192,2,1,1,0,0.5,,,myyearinlistss,0.5
981330900104437760,2,1,1,1,0.0,,,Lisahondaeleme1,0.5
1952813656011337728,4,1,1,0,0.25,,,JT_V_94,0.25
15592792,12,2,2,0,0.16666666666666666,,,readersdigest,0.16666666666666666
596035197,12,2,2,0,0.16666666666666666,,,CVTSoftServe,0.16666666666666666
924694025663406080,12,2,2,0,0.16666666666666666,,,CartChaos22202,0.16666666666666666
1028222332802715649,12,2,2,0,0.16666666666666666,,,_mika_ns_,0.16666666666666666
1755639194914017280,12,2,2,0,0.16666666666666666,,,rapebears,0.16666666666666666
1944237731288428545,12,2,2,0,0.16666666666666666,,,yushitowa,0.16666666666666666
1958873548740861953,12,2,2,0,0.16666666666666666,,,humberwire,0.16666666666666666
1210375120709013504,7,1,1,0,0.14285714285714285,,,cheryl_josie,0.14285714285714285
258871381,7,1,1,3,-0.2857142857142857,,,HollyBlomberg,0.14285714285714285
308222785,8,1,1,0,0.125,,,rhcm123,0.125
1900664583825879043,8,1,1,0,0.125,,,MarcWhittemore,0.125
1910536781008953346,9,1,1,0,0.1111111111111111,,,mathyshrimp,0.1111111111111111
1468518847406026754,10,1,1,0,0.1,,,Bella22549670,0.1
1972631268,10,1,1,2,-0.1,,,jrboulder,0.1
