Author ID,posts,include_hits,exclude_hits,avg_relevance,avg_domain_similarity,max_domain_similarity,author_username,focus_share
22705185,1,2,0,2.0,0.07342916505290369,0.07342916505290369,zakmuK,2.0
1516266933556969476,1,2,0,2.0,0.06270093983897664,0.06270093983897664,AZNikki70s,2.0
1306051453233102854,1,2,0,2.0,0.0609557447523355,0.0609557447523355,StinkinAbraham,2.0
161079363,4,4,0,1.0,0.06414605967345001,0.07326421372008515,Costco_Insider,1.0
596035197,2,2,0,1.0,0.09854629769065017,0.10106806324692369,CVTSoftServe,1.0
15592792,2,2,0,1.0,0.09120744822099713,0.09643517298125935,readersdigest,1.0
1958873548740861953,2,2,0,1.0,0.05854042351491876,0.06368532481882588,humberwire,1.0
1387578217570004994,1,1,0,1.0,0.13312288125675129,0.13312288125675129,Uniquecomics1,1.0
2339356922,1,1,0,1.0,0.11245347972864521,0.11245347972864521,daviddashcoby,1.0
185405669,1,1,0,1.0,0.10976722549018567,0.10976722549018567,wpgphotog,1.0
1468518847406026754,1,1,0,1.0,0.10434792886559041,0.10434792886559041,Bella22549670,1.0
1673382668229025811,1,1,0,1.0,0.10408169237540785,0.10408169237540785,HobbJW,1.0
2636538720,1,1,0,1.0,0.10152096031722718,0.10152096031722718,sweatsXstew,1.0
1614446394751729664,1,1,0,1.0,0.09984122060290945,0.09984122060290945,onlywon_tiffa,1.0
1876018867782479872,1,1,0,1.0,0.09130630109198483,0.09130630109198483,rowan_cerise,1.0
1784239990047707136,1,1,0,1.0,0.08984299137020835,0.08984299137020835,popular_tyrant,1.0
586194892,1,1,0,1.0,0.08851552184540179,0.08851552184540179,kloveaggs,1.0
1650499973832749059,1,1,0,1.0,0.08645628230078416,0.08645628230078416,MsFemi,1.0
1329880712254722053,1,1,0,1.0,0.0838097208273251,0.0838097208273251,gradeaxnae,1.0
1579225952755875847,1,1,0,1.0,0.08234731744987536,0.08234731744987536,taeji_min29,1.0
1319335395121795072,1,1,0,1.0,0.08040072914093031,0.08040072914093031,blasiancreole,1.0
26602990,1,1,0,1.0,0.07986579691998864,0.07986579691998864,thebigtime,1.0
718260406838497281,1,1,0,1.0,0.07950488345734893,0.07950488345734893,ChadJungleLoL,1.0
1243257808298090496,1,1,0,1.0,0.0763555367204371,0.0763555367204371,naisha025,1.0
1388948661099405313,1,1,0,1.0,0.07180326701927349,0.07180326701927349,ashervents,1.0
815802770536022016,1,1,0,1.0,0.07131572693382235,0.07131572693382235,BowTiedCrow,1.0
17471812,1,1,0,1.0,0.07018852278591502,0.07018852278591502,frugalfreebies,1.0
308222785,1,1,0,1.0,0.0699090507535109,0.0699090507535109,rhcm123,1.0
1952813656011337728,1,1,0,1.0,0.06881822488623635,0.06881822488623635,JT_V_94,1.0
108089347,1,1,0,1.0,0.06701251193278172,0.06701251193278172,costcopharmacy,1.0
18266427,1,1,0,1.0,0.0660605933231344,0.0660605933231344,iamqmcgds,1.0
1676035089963315200,1,1,0,1.0,0.06593664744061632,0.06593664744061632,hollow_saba,1.0
179594441,1,1,0,1.0,0.06529941567358266,0.06529941567358266,thatgirlslim,1.0
3180703005,1,1,0,1.0,0.06432019180610817,0.06432019180610817,S44_Toffee,1.0
1626354394848727040,1,1,0,1.0,0.06373835935546526,0.06373835935546526,QuinnChasan,1.0
1730005455215497216,1,1,0,1.0,0.06115460605317089,0.06115460605317089,MapleMemoria,1.0
1910536781008953346,1,1,0,1.0,0.05993398730132213,0.05993398730132213,mathyshrimp,1.0
1359098366643347463,1,1,0,1.0,0.05822643425295536,0.05822643425295536,BRRRCO,1.0
83415363,1,1,0,1.0,0.058092579688090076,0.058092579688090076,pieroj2,1.0
1900664583825879043,1,1,0,1.0,0.05701455638120095,0.05701455638120095,MarcWhittemore,1.0
258871381,1,1,0,1.0,0.055808574122875515,0.055808574122875515,HollyBlomberg,1.0
761731,1,1,0,1.0,0.05571383270390696,0.05571383270390696,marchorowitz,1.0
248445168,1,1,0,1.0,0.055033960866801235,0.055033960866801235,PiltdownSupermn,1.0
21731244,1,1,0,1.0,0.0538517395487246,0.0538517395487246,TastingTable,1.0
65476781,1,1,0,1.0,0.053387651183347686,0.053387651183347686,VanFlanker,1.0
4449801194,1,1,0,1.0,0.053068285938688606,0.053068285938688606,DestryBrod,1.0
1585948647707086849,1,1,0,1.0,0.052827280886069895,0.052827280886069895,SCAR_HEART_01,1.0
3389941354,1,1,0,1.0,0.05277822206423949,0.05277822206423949,smellyfatdick,1.0
