Tweet ID,Author Username,Original User Sentiment,include_match_count,exclude_match_count,topic_relevance_score,domain_similarity,include_terms_matched,exclude_terms_matched,Content
1.9763036821666204e+18,onlywon_tiffa,Negative,1,0,1,0.09984122060290945,['costco'],[],I know this man @ Costco tired of me asking him to use his Costco card so I can get gas😂
1.97629803350451e+18,MsFemi,Negative,1,0,1,0.08645628230078416,['costco'],[],I haven’t gone to Costco in like 3 months! Coming from someone that treats Costco like it’s DisneyLand😞😞
1.976295101069656e+18,sweatsXstew,Positive,1,0,1,0.10152096031722718,['costco'],[],Yes I have a Sam’s club card too but I moved close to a Costco so now I’m like should I try them out?! I hear good things
1.9762883103738964e+18,CVTSoftServe,Positive,1,0,1,0.10106806324692369,['costco'],[],"Good Morning Idaho 😊 In case you missed it, the next stop on our Costco Roadshow tour starts today at 2051 S. Cole Road in Boise...we're here all day everyday until Sunday night!

What’s a Roadshow? Glad you asked...

""It’s a temporary, in-store event at select Costco locations where brands can showcase and sell their products directly to members through pop-ups, demos, and samples""

It's basically a way to prove to the powers that be whether or not we’re a viable brand to eventually earn a permanent spot on @costco shelves.

Tell your family. Tell your friends. Come buy our ice cream and help us impress the suits...k, love you bye!"
1.9762578052511788e+18,popular_tyrant,Positive,1,0,1,0.08984299137020835,['costco'],[],"About to walk into Costco like ‘2 morning hot dogs, my good man’"
1.9762393095828933e+18,Uniquecomics1,Negative,1,0,1,0.13312288125675129,['costco'],[],Just bought more physical silver. Quantity is getting low prices are getting high. Costco sold out. Costco online sold out. Can’t find any coins or bars anywhere.  Managed to get a 10 ounce bar ordered online.
1.976203508702384e+18,readersdigest,Positive,1,0,1,0.09643517298125935,['costco'],[],"Costco's done it again! This incredible new food court treat is worth a trip to the store, even if you're not buying anything else. https://t.co/pDEsIPQXYb"
1.9761865757312497e+18,ashervents,Positive,1,0,1,0.07180326701927349,['costco'],[],going to costco tmrw and they have these i am going to hop on the mooncake tren (and their small and only 140 cals per and theres variety love me some variety) https://t.co/wkFusodsCx
1.9761696812340716e+18,rowan_cerise,Negative,1,0,1,0.09130630109198483,['costco'],[],"on the other hand 
the criminal gangs that steal vehicles and catalytic converters

I’m told they can have the catalytic converter off the car in something like three minutes
Although they often pick parking lot like CostCo where they know people will be in line for a long time
Since there’s no security at the Disneyland parking lot, I wonder how many people lose their catalytic converter there

Before Covid there was a vehicle stolen every six minutes in California, during Covid that rate increased to a vehicle stolen every 3 minutes

The FIB
Says that 80% of those vehicles end up south of the border

We could screen vehicles heading south of the border to control the theft of vehicles and the often violent carjacking that results in the deaths of adults and children

BUT GAVIN NEWSOM WOULD NEVER BOTHER DOING THAT

IT IS PART OF THE REASON OUR VEHICLE INSURANCE INCREASED OVER 50% IN THE PAST YEAR AND WILL PROBABLY GO UP AGAIN

Not only did Gavin destroy my small business with his draconian and erratic Covid lockdowns

But the increase in vehicle and home insurance, and our homeowners dues
the increase of other costs in California have added almost $250 a month to my basic cost of living,

On a 2.3% Social Security increase

I’m learning to hate these people
Arrogant liberal politicians

WHO DON’T GIVE A DAMN ABOUT WHAT HAPPENS TO THEIR POPULATION
And I still have a roof over my head, they haven’t managed to tear it down to build a housing project for Criminal illegals or burn my Neighbourhood to the ground yet

It’s a pity karma takes so long"
1.976168463388582e+18,taeji_min29,Positive,1,0,1,0.08234731744987536,['costco'],[],"Japanese Costco ✅✅ no matter how busy it is you hardly hear anyone yelling. It’s so peaceful. 
Spent 2 hours shopping and came out with 100,000 yen worth of goods 😅"
1.976133048757625e+18,zakmuK,Negative,2,0,2,0.07342916505290369,"['costco', 'costco food court']",[],I got stuck behind a guy at the Costco food court condiment station that had a plate of 5 glizzies. This is not an exaggeration
1.976131912952578e+18,Bella22549670,Positive,1,0,1,0.10434792886559041,['costco'],[],"You sound like my hubby,he was suppose to go get a massage after his Costco run but when he was leaving a woman literally try to have 3 employees stuff a washer in her ford focus…NEVER GONNA HAPPEN…her offered to load in his truck and take it home for her..
Thats what he said I love helping people..He wouldn’t take anything for it..A good Man I have I will keep him for another 56 yrs"
